age,income,education_level,risk_score,facility_area,facility_quality,target
36.09369487203076,58670.79082120249,college,-0.6816145525304338,200,high,1867.377440637209
,53543.12499807063,college,2.031400164778503,0,,1709.0399843467737
45.41534249022307,71948.16045779995,graduate,,100,high,2251.0697531270953
,56462.48634278728,college,1.0280535653991831,0,,1782.1822712157934
43.725816832529084,55399.54068261094,high_school,-0.05330286899115438,200,medium,1758.9004508564637
47.67746422087399,61570.35044832189,graduate,-0.03074383226052982,0,,1913.5785754252192
52.40177039627736,85448.80024456276,college,-0.5840293332220078,200,low,2606.2492777784373
33.00345325596742,39894.65687968194,college,0.11912392936627762,300,high,1272.1262804621829
32.50094840854474,71547.85339583032,high_school,,0,,2238.2011097286622
58.25615058483036,31602.432581428424,college,-0.7842585089151799,100,medium,1001.8810988201564
40.05195753354323,,high_school,-0.1250444158598842,200,high,1983.6696378324827
27.99789488883751,83626.24241413096,graduate,,100,medium,2586.370008074141
,67330.0278670096,college,2.2996640696148387,0,,2137.1300613936232
50.56043767239224,62559.37617809689,graduate,-0.08973076991161853,0,,1973.364866415566
26.631416912919523,51593.25796795387,college,1.5452321516965593,100,medium,1679.7798218597925
47.75378058556328,60465.708007328314,high_school,-0.19562233080768832,200,low,1907.460375803131
53.826997109140486,56219.05776894966,college,0.25928764153490796,100,low,1753.282088170368
49.492637420475155,48210.35088102967,high_school,-1.3213640716452693,0,,1449.8777910242745
52.58377780513674,55651.86576787695,graduate,-0.44707259186786463,100,medium,1739.1713863240427
28.14877082291101,62975.717409396595,college,0.21053467078924676,100,low,2007.432230759805
48.97248185995435,48491.74397204039,college,1.5860038309598667,0,,1581.0650358923517
41.36856288635464,47905.77268972974,high_school,0.22198277767627117,200,medium,1519.154986595546
39.20651809530426,39596.34843611738,graduate,1.3837203611929991,0,,1302.3918645185106
55.44666731303672,65860.87539133344,graduate,0.6407291102029202,100,medium,2112.480130723189
62.75129412809076,68179.84892950591,college,1.6274013394646858,300,high,2142.249809107377
,,high_school,-0.059042217305055426,100,medium,1954.7018279071142
60.77769445807086,74477.55739092999,college,2.390222710651804,200,medium,2387.0452397400986
